id_producto,id_luminaria,tipo_led,marca,potencia_watts,vida_util_nominal,horas_operacion_dia
1,LED-00001,LED Tubo T8,LG,18,40000,24
2,LED-00002,LED Tubo T8,LG,18,40000,24
3,LED-00003,LED Tubo T8,Philips,18,40000,24
4,LED-00004,LED Tubo T8,LG,18,40000,24
5,LED-00005,LED Tubo T8,Philips,18,40000,24
6,LED-00006,LED Tubo T8,Philips,18,40000,24
7,LED-00007,LED Tubo T8,Philips,18,40000,24
8,LED-00008,LED Tubo T8,LG,18,40000,24
9,LED-00009,LED Tubo T8,Philips,18,40000,24
10,LED-00010,LED Tubo T8,LG,18,40000,24
11,LED-00011,LED Tubo T8,Philips,18,40000,24
12,LED-00012,LED Tubo T8,Osram,18,40000,24
13,LED-00013,LED Tubo T8,Genérico A,18,40000,24
14,LED-00014,LED Tubo T8,LG,18,40000,24
15,LED-00015,LED Tubo T8,Osram,18,40000,24
16,LED-00016,LED Tubo T8,Genérico B,18,40000,24
17,LED-00017,LED Tubo T8,Philips,18,40000,24
18,LED-00018,LED Tubo T8,Philips,18,40000,24
19,LED-00019,LED Tubo T8,LG,18,40000,24
20,LED-00020,LED Tubo T8,LG,18,40000,24
21,LED-00021,LED Tubo T8,Philips,18,40000,24
22,LED-00022,LED Tubo T8,Philips,18,40000,24
23,LED-00023,LED Tubo T8,Genérico A,18,40000,24
24,LED-00024,LED Tubo T8,Genérico A,18,40000,24
25,LED-00025,LED Tubo T8,Samsung,18,40000,24
26,LED-00026,LED Tubo T8,Philips,18,40000,24
27,LED-00027,LED Tubo T8,Philips,18,40000,24
28,LED-00028,LED Tubo T8,Genérico B,18,40000,24
29,LED-00029,LED Tubo T8,Genérico A,18,40000,24
30,LED-00030,LED Tubo T8,Osram,18,40000,24
31,LED-00031,LED Tubo T8,Genérico A,18,40000,24
32,LED-00032,LED Tubo T8,Osram,18,40000,24
33,LED-00033,LED Tubo T8,LG,18,40000,24
34,LED-00034,LED Tubo T8,Genérico B,18,40000,24
35,LED-00035,LED Tubo T8,Philips,18,40000,24
36,LED-00036,LED Tubo T8,Philips,18,40000,24
37,LED-00037,LED Tubo T8,Philips,18,40000,24
38,LED-00038,LED Tubo T8,Osram,18,40000,24
39,LED-00039,LED Tubo T8,LG,18,40000,24
40,LED-00040,LED Tubo T8,LG,18,40000,24
41,LED-00041,LED Tubo T8,Philips,18,40000,24
42,LED-00042,LED Tubo T8,Genérico A,18,40000,24
43,LED-00043,LED Tubo T8,Osram,18,40000,24
44,LED-00044,LED Tubo T8,Genérico B,18,40000,24
45,LED-00045,LED Tubo T8,Genérico A,18,40000,24
46,LED-00046,LED Tubo T8,Philips,18,40000,24
47,LED-00047,LED Tubo T8,Osram,18,40000,24
48,LED-00048,LED Tubo T8,Samsung,18,40000,24
49,LED-00049,LED Tubo T8,Philips,18,40000,24
50,LED-00050,LED Tubo T8,Samsung,18,40000,24
51,LED-00051,LED Tubo T8,Osram,18,40000,24
52,LED-00052,LED Tubo T8,Osram,18,40000,24
53,LED-00053,LED Tubo T8,Genérico B,18,40000,24
54,LED-00054,LED Tubo T8,Samsung,18,40000,24
55,LED-00055,LED Tubo T8,Genérico A,18,40000,24
56,LED-00056,LED Tubo T8,Philips,18,40000,24
57,LED-00057,LED Tubo T8,Genérico A,18,40000,24
58,LED-00058,LED Tubo T8,Samsung,18,40000,24
59,LED-00059,LED Tubo T8,Osram,18,40000,24
60,LED-00060,LED Tubo T8,Samsung,18,40000,24
61,LED-00061,LED Tubo T8,Genérico A,18,40000,24
62,LED-00062,LED Tubo T8,LG,18,40000,24
63,LED-00063,LED Tubo T8,LG,18,40000,24
64,LED-00064,LED Tubo T8,Genérico A,18,40000,24
65,LED-00065,LED Tubo T8,Osram,18,40000,24
66,LED-00066,LED Tubo T8,Osram,18,40000,24
67,LED-00067,LED Tubo T8,Philips,18,40000,24
68,LED-00068,LED Tubo T8,Genérico B,18,40000,24
69,LED-00069,LED Tubo T8,Samsung,18,40000,24
70,LED-00070,LED Tubo T8,Genérico A,18,40000,24
71,LED-00071,LED Tubo T8,Genérico A,18,40000,24
72,LED-00072,LED Tubo T8,LG,18,40000,24
73,LED-00073,LED Tubo T8,Osram,18,40000,24
74,LED-00074,LED Tubo T8,Samsung,18,40000,24
75,LED-00075,LED Tubo T8,Genérico B,18,40000,24
76,LED-00076,LED Tubo T8,Osram,18,40000,24
77,LED-00077,LED Tubo T8,Philips,18,40000,24
78,LED-00078,LED Tubo T8,Genérico A,18,40000,24
79,LED-00079,LED Tubo T8,Philips,18,40000,24
80,LED-00080,LED Tubo T8,Genérico A,18,40000,24
81,LED-00081,LED Tubo T8,Philips,18,40000,24
82,LED-00082,LED Tubo T8,Genérico A,18,40000,24
83,LED-00083,LED Tubo T8,Genérico A,18,40000,24
84,LED-00084,LED Tubo T8,LG,18,40000,24
85,LED-00085,LED Tubo T8,Philips,18,40000,24
86,LED-00086,LED Tubo T8,Genérico A,18,40000,24
87,LED-00087,LED Tubo T8,Genérico B,18,40000,24
88,LED-00088,LED Tubo T8,Genérico A,18,40000,24
89,LED-00089,LED Tubo T8,Philips,18,40000,24
90,LED-00090,LED Tubo T8,Osram,18,40000,24
91,LED-00091,LED Tubo T8,LG,18,40000,24
92,LED-00092,LED Tubo T8,Genérico A,18,40000,24
93,LED-00093,LED Tubo T8,Philips,18,40000,24
94,LED-00094,LED Tubo T8,Philips,18,40000,24
95,LED-00095,LED Tubo T8,Samsung,18,40000,24
96,LED-00096,LED Tubo T8,Samsung,18,40000,24
97,LED-00097,LED Tubo T8,Philips,18,40000,24
98,LED-00098,LED Tubo T8,Philips,18,40000,24
99,LED-00099,LED Tubo T8,Genérico B,18,40000,24
100,LED-00100,LED Tubo T8,Philips,18,40000,24
101,LED-00101,LED Tubo T8,Osram,18,40000,24
102,LED-00102,LED Tubo T8,Philips,18,40000,24
103,LED-00103,LED Tubo T8,LG,18,40000,24
104,LED-00104,LED Tubo T8,Samsung,18,40000,24
105,LED-00105,LED Tubo T8,Genérico A,18,40000,24
106,LED-00106,LED Tubo T8,Philips,18,40000,24
107,LED-00107,LED Tubo T8,LG,18,40000,24
108,LED-00108,LED Tubo T8,Osram,18,40000,24
109,LED-00109,LED Tubo T8,Genérico A,18,40000,24
110,LED-00110,LED Tubo T8,LG,18,40000,24
111,LED-00111,LED Tubo T8,Philips,18,40000,24
112,LED-00112,LED Tubo T8,LG,18,40000,24
113,LED-00113,LED Tubo T8,Philips,18,40000,24
114,LED-00114,LED Tubo T8,Samsung,18,40000,24
115,LED-00115,LED Tubo T8,Osram,18,40000,24
116,LED-00116,LED Tubo T8,Samsung,18,40000,24
117,LED-00117,LED Tubo T8,Osram,18,40000,24
118,LED-00118,LED Tubo T8,Philips,18,40000,24
119,LED-00119,LED Tubo T8,Genérico B,18,40000,24
120,LED-00120,LED Tubo T8,Genérico B,18,40000,24
121,LED-00121,LED Tubo T8,Philips,18,40000,24
122,LED-00122,LED Tubo T8,Samsung,18,40000,24
123,LED-00123,LED Tubo T8,Genérico B,18,40000,24
124,LED-00124,LED Tubo T8,Osram,18,40000,24
125,LED-00125,LED Tubo T8,Osram,18,40000,24
126,LED-00126,LED Tubo T8,Osram,18,40000,24
127,LED-00127,LED Tubo T8,Genérico B,18,40000,24
128,LED-00128,LED Tubo T8,LG,18,40000,24
129,LED-00129,LED Tubo T8,Philips,18,40000,24
130,LED-00130,LED Tubo T8,Philips,18,40000,24
131,LED-00131,LED Tubo T8,Samsung,18,40000,24
132,LED-00132,LED Tubo T8,Philips,18,40000,24
133,LED-00133,LED Tubo T8,Philips,18,40000,24
134,LED-00134,LED Tubo T8,Samsung,18,40000,24
135,LED-00135,LED Tubo T8,Philips,18,40000,24
136,LED-00136,LED Tubo T8,Philips,18,40000,24
137,LED-00137,LED Tubo T8,Philips,18,40000,24
138,LED-00138,LED Tubo T8,LG,18,40000,24
139,LED-00139,LED Tubo T8,Osram,18,40000,24
140,LED-00140,LED Tubo T8,Philips,18,40000,24
141,LED-00141,LED Tubo T8,Philips,18,40000,24
142,LED-00142,LED Tubo T8,Osram,18,40000,24
143,LED-00143,LED Tubo T8,Samsung,18,40000,24
144,LED-00144,LED Tubo T8,Genérico B,18,40000,24
145,LED-00145,LED Tubo T8,LG,18,40000,24
146,LED-00146,LED Tubo T8,Philips,18,40000,24
147,LED-00147,LED Tubo T8,Philips,18,40000,24
148,LED-00148,LED Tubo T8,Osram,18,40000,24
149,LED-00149,LED Tubo T8,Genérico B,18,40000,24
150,LED-00150,LED Tubo T8,Philips,18,40000,24
151,LED-00151,LED Tubo T8,Genérico B,18,40000,8
152,LED-00152,LED Tubo T8,Philips,18,40000,8
153,LED-00153,LED Tubo T8,Samsung,18,40000,8
154,LED-00154,LED Tubo T8,Genérico B,18,40000,8
155,LED-00155,LED Tubo T8,Genérico A,18,40000,8
