Fecha,Año,Mes,MesNombre,Trimestre,Semana,DiaSemana,DiaSemanaNombre,DiaDelAño
2019-08-03,2019,8,August,3,31,6,Saturday,215
2019-08-04,2019,8,August,3,31,7,Sunday,216
2019-08-05,2019,8,August,3,32,1,Monday,217
2019-08-06,2019,8,August,3,32,2,Tuesday,218
2019-08-07,2019,8,August,3,32,3,Wednesday,219
2019-08-08,2019,8,August,3,32,4,Thursday,220
2019-08-09,2019,8,August,3,32,5,Friday,221
2019-08-10,2019,8,August,3,32,6,Saturday,222
2019-08-11,2019,8,August,3,32,7,Sunday,223
2019-08-12,2019,8,August,3,33,1,Monday,224
2019-08-13,2019,8,August,3,33,2,Tuesday,225
2019-08-14,2019,8,August,3,33,3,Wednesday,226
2019-08-15,2019,8,August,3,33,4,Thursday,227
2019-08-16,2019,8,August,3,33,5,Friday,228
2019-08-17,2019,8,August,3,33,6,Saturday,229
2019-08-18,2019,8,August,3,33,7,Sunday,230
2019-08-19,2019,8,August,3,34,1,Monday,231
2019-08-20,2019,8,August,3,34,2,Tuesday,232
2019-08-21,2019,8,August,3,34,3,Wednesday,233
2019-08-22,2019,8,August,3,34,4,Thursday,234
2019-08-23,2019,8,August,3,34,5,Friday,235
2019-08-24,2019,8,August,3,34,6,Saturday,236
2019-08-25,2019,8,August,3,34,7,Sunday,237
2019-08-26,2019,8,August,3,35,1,Monday,238
2019-08-27,2019,8,August,3,35,2,Tuesday,239
2019-08-28,2019,8,August,3,35,3,Wednesday,240
2019-08-29,2019,8,August,3,35,4,Thursday,241
2019-08-30,2019,8,August,3,35,5,Friday,242
2019-08-31,2019,8,August,3,35,6,Saturday,243
2019-09-01,2019,9,September,3,35,7,Sunday,244
2019-09-02,2019,9,September,3,36,1,Monday,245
2019-09-03,2019,9,September,3,36,2,Tuesday,246
2019-09-04,2019,9,September,3,36,3,Wednesday,247
2019-09-05,2019,9,September,3,36,4,Thursday,248
2019-09-06,2019,9,September,3,36,5,Friday,249
2019-09-07,2019,9,September,3,36,6,Saturday,250
2019-09-08,2019,9,September,3,36,7,Sunday,251
2019-09-09,2019,9,September,3,37,1,Monday,252
2019-09-10,2019,9,September,3,37,2,Tuesday,253
2019-09-11,2019,9,September,3,37,3,Wednesday,254
2019-09-12,2019,9,September,3,37,4,Thursday,255
2019-09-13,2019,9,September,3,37,5,Friday,256
2019-09-14,2019,9,September,3,37,6,Saturday,257
2019-09-15,2019,9,September,3,37,7,Sunday,258
2019-09-16,2019,9,September,3,38,1,Monday,259
2019-09-17,2019,9,September,3,38,2,Tuesday,260
