id_ubicacion,id_luminaria,piso,area,ubicacion_especifica,criticidad
1,LED-00001,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
2,LED-00002,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
3,LED-00003,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
4,LED-00004,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
5,LED-00005,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
6,LED-00006,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
7,LED-00007,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
8,LED-00008,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
9,LED-00009,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
10,LED-00010,Piso -2,Estacionamiento,Estacionamiento - Sector 1,BAJA
11,LED-00011,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
12,LED-00012,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
13,LED-00013,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
14,LED-00014,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
15,LED-00015,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
16,LED-00016,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
17,LED-00017,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
18,LED-00018,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
19,LED-00019,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
20,LED-00020,Piso -2,Estacionamiento,Estacionamiento - Sector 2,BAJA
21,LED-00021,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
22,LED-00022,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
23,LED-00023,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
24,LED-00024,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
25,LED-00025,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
26,LED-00026,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
27,LED-00027,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
28,LED-00028,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
29,LED-00029,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
30,LED-00030,Piso -2,Estacionamiento,Estacionamiento - Sector 3,BAJA
31,LED-00031,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
32,LED-00032,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
33,LED-00033,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
34,LED-00034,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
35,LED-00035,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
36,LED-00036,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
37,LED-00037,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
38,LED-00038,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
39,LED-00039,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
40,LED-00040,Piso -2,Estacionamiento,Estacionamiento - Sector 4,BAJA
41,LED-00041,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
42,LED-00042,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
43,LED-00043,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
44,LED-00044,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
45,LED-00045,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
46,LED-00046,Piso -2,Estacionamiento,Estacionamiento - Sector 5,BAJA
