id_luminaria,fecha_instalacion,horas_uso_acumuladas,porcentaje_vida_consumida,vida_util_real_calculada,ciclos_acumulados,temperatura_promedio_c,humedad_promedio_pct,voltaje_promedio_v,dias_restantes_estimados,dias_restantes_predichos,horas_restantes_estimadas,nivel_riesgo,prioridad_mantenimiento,estado_actual,fecha_falla,fecha_cambio,motivo_cambio,prob_falla_alto,prob_falla_medio,prob_falla_bajo
LED-00001,2023-06-12,23400,56.47,41436,1950,19.24814912353949,44.67983561008608,218.3485016730092,752.0,748.6992111509045,18036,BAJO,5,OPERATIVO,,,,0.0095468277945619,0.008943396226415,0.981509775979023
LED-00002,2022-03-19,34200,90.89,37628,2850,23.66458062236836,40.61753482887407,223.819459112972,143.0,143.6459507262151,3428,ALTO,3,OPERATIVO,,,,0.0104736238153344,0.0569535659381006,0.932572810246565
LED-00003,2023-01-05,27192,77.75,34971,2266,20.433937943676305,55.74269294896713,220.5916701118527,324.0,315.23692429631336,7779,MEDIO,4,OPERATIVO,,,,0.0,0.0,1.0
LED-00004,2020-07-12,48960,123.15,39757,4080,20.337157188281743,50.99085529881075,220.73641990530223,-383.0,,-9203,REEMPLAZADO,0,REEMPLAZADO,2024-06-19,2024-06-26,FALLA,0.0,0.0,0.0
LED-00005,2021-03-21,42912,122.02,35168,3576,22.860358815211505,45.115723710618745,218.39030955791168,-323.0,,-7744,REEMPLAZADO,0,REEMPLAZADO,2024-08-26,2024-09-01,FALLA,0.0,0.0,0.0
LED-00006,2023-01-23,26760,58.11,46048,2230,24.46717878493169,49.13841307520112,218.58603268403832,804.0,794.4047478610481,19288,BAJO,5,OPERATIVO,,,,0.0095468277945619,0.0182557734366312,0.9721973987688068
LED-00007,2020-10-02,46992,138.91,33828,3916,25.274563216630256,47.763399448000506,221.9751337061239,-548.0,,-13164,REEMPLAZADO,0,REEMPLAZADO,2024-01-19,2024-01-20,FALLA,0.0,0.0,0.0
LED-00008,2020-06-09,49752,102.78,48408,4146,19.478835644204217,69.08753883293676,222.65079694016669,-56.0,,-1344,REEMPLAZADO,0,REEMPLAZADO,2025-07-10,2025-07-15,FALLA,0.0,0.0,0.0
LED-00009,2019-12-11,54096,126.36,42812,4508,20.60264264610612,51.66031869068446,219.62809419064337,-470.0,,-11284,REEMPLAZADO,0,REEMPLAZADO,2024-02-14,2024-02-17,FALLA,0.0,0.0,0.0
LED-00010,2021-03-26,42792,108.01,39619,3566,22.34156866526599,44.22772674924288,222.81318188452423,-132.0,,-3173,REEMPLAZADO,0,REEMPLAZADO,2025-03-28,2025-04-03,FALLA,0.0,0.0,0.0
