id_luminaria,piso,area,ubicacion_especifica,tipo_led,marca,potencia_watts,vida_util_nominal,fecha_instalacion,criticidad,horas_operacion_dia,vida_util_real_calculada,horas_uso_acumuladas,porcentaje_vida_consumida,ciclos_encendido_dia,ciclos_acumulados,temperatura_promedio_c,humedad_promedio_pct,voltaje_promedio_v,fecha_falla,fecha_cambio,motivo_cambio,estado_actual,dias_desde_instalacion,horas_restantes_estimadas,dias_restantes_estimados,nivel_riesgo,prioridad_mantenimiento
LED-00001,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,LG,18,40000,2023-06-12,BAJA,24,41436,23400,56.47,2,1950,19.24814912353949,44.67983561008608,218.3485016730092,,,,OPERATIVO,975,18036,752.0,BAJO,5
LED-00002,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,LG,18,40000,2022-03-19,BAJA,24,37628,34200,90.89,2,2850,23.664580622368362,40.61753482887407,223.81945911297197,,,,OPERATIVO,1425,3428,143.0,ALTO,3
LED-00003,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,Philips,18,40000,2023-01-05,BAJA,24,34971,27192,77.75,2,2266,20.433937943676302,55.74269294896713,220.5916701118527,,,,OPERATIVO,1133,7779,324.0,MEDIO,4
LED-00004,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,LG,18,40000,2020-07-12,BAJA,24,39757,48960,123.15,2,4080,20.337157188281743,50.99085529881075,220.73641990530223,2024-06-19,2024-06-26,FALLA,REEMPLAZADO,2040,-9203,-383.0,REEMPLAZADO,0
LED-00005,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,Philips,18,40000,2021-03-21,BAJA,24,35168,42912,122.02,2,3576,22.860358815211505,45.115723710618745,218.39030955791168,2024-08-26,2024-09-01,FALLA,REEMPLAZADO,1788,-7744,-323.0,REEMPLAZADO,0
LED-00006,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,Philips,18,40000,2023-01-23,BAJA,24,46048,26760,58.11,2,2230,24.46717878493169,49.13841307520112,218.58603268403832,,,,OPERATIVO,1115,19288,804.0,BAJO,5
LED-00007,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,Philips,18,40000,2020-10-02,BAJA,24,33828,46992,138.91,2,3916,25.274563216630256,47.763399448000506,221.9751337061239,2024-01-19,2024-01-20,FALLA,REEMPLAZADO,1958,-13164,-548.0,REEMPLAZADO,0
LED-00008,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,LG,18,40000,2020-06-09,BAJA,24,48408,49752,102.78,2,4146,19.478835644204217,69.08753883293676,222.65079694016669,2025-07-10,2025-07-15,FALLA,REEMPLAZADO,2073,-1344,-56.0,REEMPLAZADO,0
LED-00009,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,Philips,18,40000,2019-12-11,BAJA,24,42812,54096,126.36,2,4508,20.602642646106116,51.66031869068446,219.62809419064337,2024-02-14,2024-02-17,FALLA,REEMPLAZADO,2254,-11284,-470.0,REEMPLAZADO,0
LED-00010,Piso -2,Estacionamiento,Estacionamiento - Sector 1,LED Tubo T8,LG,18,40000,2021-03-26,BAJA,24,39619,42792,108.01,2,3566,22.34156866526599,44.227726749242876,222.81318188452423,2025-03-28,2025-04-03,FALLA,REEMPLAZADO,1783,-3173,-132.0,REEMPLAZADO,0
