id_luminaria,piso,area,tipo_led,marca,criticidad,horas_uso_acumuladas,porcentaje_vida_consumida,dias_restantes_estimados,dias_restantes_predichos,nivel_riesgo,prioridad_mantenimiento,prob_falla_alto,prob_falla_medio,prob_falla_bajo
LED-00001,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,23400,56.47,752.0,748.6992111509045,BAJO,5,0.009546827794561933,0.008943396226415094,0.981509775979023
LED-00002,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,34200,90.89,143.0,143.6459507262151,ALTO,3,0.010473623815334454,0.05695356593810061,0.932572810246565
LED-00003,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,27192,77.75,324.0,315.23692429631336,MEDIO,4,0.0,0.0,1.0
LED-00006,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,26760,58.11,804.0,794.4047478610481,BAJO,5,0.009546827794561933,0.018255773436631206,0.9721973987688068
LED-00012,Piso -2,Estacionamiento,LED Tubo T8,Osram,BAJA,22488,52.94,833.0,823.4780734471697,BAJO,5,0.0,0.0,1.0
LED-00013,Piso -2,Estacionamiento,LED Tubo T8,Genérico A,BAJA,30000,92.41,103.0,107.74855988592975,ALTO,3,0.01800805643940844,0.018943396226415096,0.9630485473341764
LED-00019,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,24288,68.07,475.0,474.4219637675428,BAJO,4,0.0,0.00931237721021611,0.990687622789784
LED-00021,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,40776,117.85,-257.0,-280.9292687496365,ALTO,2,0.9535635427081052,0.03501726247796339,0.011419194813931449
LED-00022,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,36576,75.54,494.0,485.00549547086194,MEDIO,4,0.009546827794561933,0.0,0.990453172205438
LED-00027,Piso -2,Estacionamiento,LED Tubo T8,Philips,BAJA,36384,86.12,244.0,246.0934369518921,MEDIO,3,0.0,0.019822317437068936,0.9801776825629311
LED-00031,Piso -2,Estacionamiento,LED Tubo T8,Genérico A,BAJA,30168,88.67,161.0,166.12954797872868,MEDIO,3,0.0,0.008943396226415094,0.9910566037735848
LED-00039,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,32952,81.7,307.0,293.11266808429184,MEDIO,3,0.0,0.029464039379843987,0.9705359606201561
LED-00040,Piso -2,Estacionamiento,LED Tubo T8,LG,BAJA,24912,58.99,722.0,721.8253542760899,BAJO,5,0.0,0.0,1.0
